Date,Kabul,Central,East,NorthEast,CentralHighland,Southeast,North,South,West
2020/3/19,0,0,0,0,0,0,0,0,0
2020/3/20,0,0,0,0,0,0,0,0,0
2020/3/21,0,0,0,0,0,0,0,0,2
2020/3/22,0,0,0,0,0,0,0,0,1
2020/3/23,0,0,0,0,0,0,0,0,0
2020/3/24,0,0,0,0,0,0,1,0,0
2020/3/25,0,0,0,0,0,0,0,0,0
2020/3/26,0,0,0,0,0,0,0,0,0
2020/3/27,0,0,0,0,0,0,0,0,2
2020/3/28,0,0,0,0,0,0,0,0,0
2020/3/29,0,0,0,0,0,0,0,0,0
2020/3/30,0,0,0,0,0,0,0,0,0
2020/3/31,0,0,0,0,0,0,1,0,0
2020/4/1,0,0,0,0,0,0,0,0,0
2020/4/2,0,0,0,0,0,0,0,0,0
2020/4/3,0,0,0,0,0,0,0,0,0
2020/4/4,0,0,0,0,0,0,0,0,0
2020/4/5,0,0,0,0,0,0,0,0,0
2020/4/6,1,0,2,0,0,0,0,1,1
2020/4/7,0,0,0,0,0,0,1,0,0
2020/4/8,0,0,0,0,0,0,0,0,0
2020/4/9,0,0,0,1,0,0,2,0,0
2020/4/10,2,0,0,1,0,0,0,0,0
2020/4/11,2,0,0,0,0,0,0,0,0
2020/4/12,1,0,0,0,0,0,0,0,1
2020/4/13,0,0,0,1,0,0,0,0,0
2020/4/14,4,0,1,0,0,1,0,0,0
2020/4/15,1,0,0,0,0,0,1,0,0
2020/4/16,0,0,1,0,0,0,0,0,0
2020/4/17,0,0,0,0,1,0,0,0,0
2020/4/18,1,0,0,1,0,0,1,0,0
2020/4/19,0,0,0,0,0,0,0,0,0
2020/4/20,0,0,0,0,0,1,0,0,0
2020/4/21,2,1,2,0,0,0,0,0,0
2020/4/22,0,0,0,1,0,0,0,0,0
2020/4/23,0,0,0,0,0,0,0,3,0
2020/4/24,0,0,0,0,0,1,0,0,0
2020/4/25,0,0,0,0,0,2,0,0,1
2020/4/26,0,0,1,0,0,0,2,1,2
2020/4/27,0,0,0,0,0,0,0,1,0
2020/4/28,0,0,0,1,0,0,0,1,0
2020/4/29,1,0,0,0,0,0,0,0,2
2020/4/30,0,0,2,0,0,0,2,0,0
2020/5/1,0,0,0,1,0,1,1,1,1
2020/5/2,0,2,1,1,1,3,4,0,0
2020/5/3,1,1,0,0,0,2,0,0,1
2020/5/4,0,2,2,1,0,0,0,0,0
2020/5/5,1,1,0,1,0,0,1,0,5
2020/5/6,0,1,0,0,0,0,1,0,0
2020/5/7,0,0,2,0,0,0,0,1,0
2020/5/8,1,2,1,0,0,0,2,0,0
2020/5/9,0,0,0,0,0,1,1,2,1
2020/5/10,0,0,1,0,0,0,0,1,0
2020/5/11,0,0,0,0,0,0,1,4,0
2020/5/12,0,1,0,0,0,0,2,0,2
2020/5/13,0,0,0,0,0,2,2,0,0
2020/5/14,1,3,3,6,0,0,4,0,0
2020/5/15,6,0,1,2,0,4,0,0,2
2020/5/16,0,0,0,0,0,0,2,0,0
2020/5/17,0,0,0,0,0,2,1,0,0
2020/5/18,0,2,1,0,0,0,1,0,0
2020/5/19,0,1,4,0,0,0,4,0,1
2020/5/20,0,2,0,0,0,1,2,0,1
2020/5/21,4,1,1,0,0,2,2,2,0
2020/5/22,0,0,1,0,0,1,1,0,8
2020/5/23,0,0,0,1,0,0,0,0,1
2020/5/24,0,0,0,0,0,0,0,0,1
2020/5/25,0,0,0,0,0,0,1,0,0
2020/5/26,0,0,0,0,0,0,1,0,6
2020/5/27,0,1,2,0,0,0,3,0,2
2020/5/28,1,0,0,0,0,2,1,0,7
2020/5/29,0,1,0,0,0,1,0,0,1
2020/5/30,0,0,2,3,0,0,1,0,2
2020/5/31,1,1,0,3,0,0,3,0,0
2020/6/1,0,0,0,0,0,0,5,0,0
2020/6/2,8,5,1,1,0,3,1,1,4
2020/6/3,0,0,0,0,1,0,2,1,2
2020/6/4,0,0,0,2,0,0,5,0,2
2020/6/5,4,0,7,0,0,0,0,2,5
2020/6/6,23,0,0,0,0,2,2,1,2
2020/6/7,7,1,0,0,0,0,0,4,0
2020/6/8,8,0,0,0,0,6,1,0,0
2020/6/9,3,0,0,0,0,0,0,6,12
2020/6/10,8,1,6,2,2,1,0,0,1
2020/6/11,0,0,0,2,0,1,0,3,13
2020/6/12,3,0,2,0,0,0,0,0,0
2020/6/13,6,3,9,0,0,2,0,0,0
2020/6/14,2,0,0,0,0,0,0,0,0
2020/6/15,3,3,1,1,0,2,0,3,0
2020/6/16,3,1,2,3,3,0,0,0,1
2020/6/17,17,0,0,0,0,0,6,0,19
2020/6/18,0,0,0,0,0,0,0,2,0
2020/6/19,7,0,0,1,0,10,0,3,0
2020/6/20,5,0,2,0,0,7,0,3,0
2020/6/21,7,2,2,1,0,0,0,0,5
2020/6/22,2,6,1,5,0,1,5,0,0
2020/6/23,4,0,0,5,0,0,1,0,11
2020/6/24,5,5,12,5,0,1,0,1,3
2020/6/25,0,0,1,0,0,2,0,1,4
2020/6/26,0,0,0,2,0,12,2,4,0
2020/6/27,8,4,0,2,0,0,0,1,1
2020/6/28,4,4,3,0,0,0,0,0,1
2020/6/29,3,0,0,1,0,3,1,3,2
2020/6/30,24,1,2,0,0,0,1,0,0
2020/7/1,23,4,1,3,0,0,0,1,1
2020/7/2,6,0,0,1,0,2,0,3,0
2020/7/3,1,0,1,0,0,4,0,1,0
2020/7/4,10,0,0,9,0,5,4,0,10
2020/7/5,10,1,0,3,2,8,0,0,7
2020/7/6,13,0,0,3,1,3,2,0,0
2020/7/7,16,0,0,0,0,0,0,0,1
2020/7/8,14,1,0,0,1,0,0,1,3
2020/7/9,10,1,0,1,0,0,0,0,2
2020/7/10,17,0,0,0,0,0,0,6,0
2020/7/11,12,0,0,0,0,0,0,2,2
2020/7/12,24,0,0,0,0,1,0,3,0
2020/7/13,19,0,1,1,0,3,0,0,0
2020/7/14,20,0,2,0,0,0,0,0,10
2020/7/15,19,0,0,0,1,1,0,0,0
2020/7/16,22,6,0,0,0,0,0,0,1
2020/7/17,17,0,0,0,0,0,0,0,0
2020/7/18,8,0,0,2,0,0,1,0,5
2020/7/19,0,0,0,0,0,0,0,0,2
2020/7/20,2,0,0,0,0,0,1,0,0
2020/7/21,2,0,0,0,0,2,0,0,0
2020/7/22,16,0,0,1,0,1,0,0,3
2020/7/23,13,0,0,0,0,0,0,1,0
2020/7/24,16,0,0,2,0,2,2,0,0
2020/7/25,2,0,1,0,0,3,0,1,4
2020/7/26,3,0,0,0,0,0,2,0,5
2020/7/27,0,0,0,0,0,0,0,0,1
2020/7/28,1,0,0,0,0,0,0,0,0
2020/7/29,0,0,7,1,1,0,1,0,0
2020/7/30,0,0,0,0,0,0,1,0,0
2020/7/31,0,0,0,0,0,0,0,0,1
2020/8/1,0,0,0,0,0,0,1,0,0
2020/8/2,1,0,0,0,0,0,3,0,0
2020/8/3,0,0,0,0,0,0,0,0,0
2020/8/4,0,0,0,0,0,0,1,0,5
